[admin.py:29] - 2023-08-05 13:53:53,287 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-05 13:53:53,287 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-05 13:53:53,294 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\erik2\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'C:\\Users\\erik2\\Desktop\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-05 13:53:53,295 - INFO - Running command 'C:\\Users\\erik2\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - 'C:\\Users\\erik2\\Desktop\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2023-08-05 13:53:55,344 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,486 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,486 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,486 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,486 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,486 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,486 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,487 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,487 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,487 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,487 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,487 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,487 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,487 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,487 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,488 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,488 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,488 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,488 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,488 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,488 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,488 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,489 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,489 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-08-05 13:53:55,489 - DEBUG - STREAM b'IDAT' 91 1063
[connectionpool.py:1048] - 2023-08-05 13:54:01,674 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:546] - 2023-08-05 13:54:01,969 - DEBUG - https://discord.com:443 "GET /api/webhooks/1137345917784162355/DMOi675omTnuiqxht5y9xjw3atBslUepziq3KE5eydFvJjVJG1nUONLkJTIGfm14QOof HTTP/1.1" 200 None
[builder.pyw:425] - 2023-08-05 13:55:51,680 - INFO - Retrieved filename: Test
[builder.pyw:394] - 2023-08-05 13:55:51,681 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-05 13:55:51,681 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-05 13:55:51,682 - INFO - Successfully changed config
